"ID","Rlink"
"64830","http://collections.britishart.yale.edu/vufind/Record/3664500"
"64833","http://collections.britishart.yale.edu/vufind/Record/3664501"
"64834","http://collections.britishart.yale.edu/vufind/Record/3664502"
"64835","http://collections.britishart.yale.edu/vufind/Record/3664503"
"64836","http://collections.britishart.yale.edu/vufind/Record/3664504"
"64838","http://collections.britishart.yale.edu/vufind/Record/3664505"
"64840","http://collections.britishart.yale.edu/vufind/Record/3664506"
"64841","http://collections.britishart.yale.edu/vufind/Record/3664507"
"64842","http://collections.britishart.yale.edu/vufind/Record/3664508"
"64844","http://collections.britishart.yale.edu/vufind/Record/3664509"
"64845","http://collections.britishart.yale.edu/vufind/Record/3664510"
"64846","http://collections.britishart.yale.edu/vufind/Record/3664511"
"64847","http://collections.britishart.yale.edu/vufind/Record/3664512"
